"method","endpoint","pathway","p_value","q_value","elapsed_seconds","n_genes"
"spatialSVP_matched_none","competitive_score","HALLMARK_E2F_TARGETS",0.001,0.01,78.2078137397766,195
"spatialSVP_matched_none","competitive_score","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.948,1,78.2078137397766,191
"spatialSVP_matched_none","competitive_score","HALLMARK_ESTROGEN_RESPONSE_EARLY",0.002,0.0166666666666667,78.2078137397766,179
"spatialSVP_matched_none","competitive_score","HALLMARK_ESTROGEN_RESPONSE_LATE",0.001,0.01,78.2078137397766,172
"spatialSVP_matched_none","competitive_score","HALLMARK_FATTY_ACID_METABOLISM",0.096,0.35,78.2078137397766,136
"spatialSVP_matched_none","competitive_score","HALLMARK_G2M_CHECKPOINT",0.021,0.105,78.2078137397766,187
"spatialSVP_matched_none","competitive_score","HALLMARK_GLYCOLYSIS",0.001,0.01,78.2078137397766,180
"spatialSVP_matched_none","competitive_score","HALLMARK_HEDGEHOG_SIGNALING",0.993,1,78.2078137397766,28
"spatialSVP_matched_none","competitive_score","HALLMARK_HEME_METABOLISM",0.57,1,78.2078137397766,157
"spatialSVP_matched_none","competitive_score","HALLMARK_HYPOXIA",0.011,0.0611111111111111,78.2078137397766,183
"spatialSVP_matched_none","competitive_score","HALLMARK_IL2_STAT5_SIGNALING",0.984,1,78.2078137397766,172
"spatialSVP_matched_none","competitive_score","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.77,1,78.2078137397766,70
"spatialSVP_matched_none","competitive_score","HALLMARK_INFLAMMATORY_RESPONSE",1,1,78.2078137397766,148
"spatialSVP_matched_none","competitive_score","HALLMARK_INTERFERON_ALPHA_RESPONSE",0.876,1,78.2078137397766,92
"spatialSVP_matched_none","competitive_score","HALLMARK_INTERFERON_GAMMA_RESPONSE",0.883,1,78.2078137397766,177
"spatialSVP_matched_none","competitive_score","HALLMARK_KRAS_SIGNALING_DN",0.324,0.771428571428571,78.2078137397766,89
"spatialSVP_matched_none","competitive_score","HALLMARK_KRAS_SIGNALING_UP",0.992,1,78.2078137397766,164
"spatialSVP_matched_none","competitive_score","HALLMARK_MITOTIC_SPINDLE",0.695,1,78.2078137397766,195
"spatialSVP_matched_none","competitive_score","HALLMARK_MTORC1_SIGNALING",0.004,0.0285714285714286,78.2078137397766,195
"spatialSVP_matched_none","competitive_score","HALLMARK_MYC_TARGETS_V1",0.116,0.386666666666667,78.2078137397766,194
"spatialSVP_matched_none","competitive_score","HALLMARK_MYC_TARGETS_V2",0.032,0.133333333333333,78.2078137397766,57
"spatialSVP_matched_none","competitive_score","HALLMARK_MYOGENESIS",0.098,0.35,78.2078137397766,171
"spatialSVP_matched_none","competitive_score","HALLMARK_NOTCH_SIGNALING",0.503,0.967307692307692,78.2078137397766,32
"spatialSVP_matched_none","competitive_score","HALLMARK_OXIDATIVE_PHOSPHORYLATION",0.01,0.0611111111111111,78.2078137397766,200
"spatialSVP_matched_none","competitive_score","HALLMARK_P53_PATHWAY",0.001,0.01,78.2078137397766,188
"spatialSVP_matched_none","competitive_score","HALLMARK_PANCREAS_BETA_CELLS",0.422,0.914583333333333,78.2078137397766,21
"spatialSVP_matched_none","competitive_score","HALLMARK_PEROXISOME",0.203,0.547368421052632,78.2078137397766,87
"spatialSVP_matched_none","competitive_score","HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.471,0.942,78.2078137397766,94
"spatialSVP_matched_none","competitive_score","HALLMARK_PROTEIN_SECRETION",0.363,0.825,78.2078137397766,95
"spatialSVP_matched_none","competitive_score","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.842,1,78.2078137397766,47
"spatialSVP_matched_none","competitive_score","HALLMARK_SPERMATOGENESIS",0.155,0.484375,78.2078137397766,63
"spatialSVP_matched_none","competitive_score","HALLMARK_TGF_BETA_SIGNALING",0.953,1,78.2078137397766,52
"spatialSVP_matched_none","competitive_score","HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.439,0.914583333333333,78.2078137397766,185
"spatialSVP_matched_none","competitive_score","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",0.178,0.523529411764706,78.2078137397766,107
"spatialSVP_matched_none","competitive_score","HALLMARK_UV_RESPONSE_DN",1,1,78.2078137397766,140
"spatialSVP_matched_none","competitive_score","HALLMARK_UV_RESPONSE_UP",0.832,1,78.2078137397766,137
"spatialSVP_matched_none","competitive_score","HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.644,1,78.2078137397766,38
"spatialSVP_matched_none","competitive_score","HALLMARK_XENOBIOTIC_METABOLISM",0.793,1,78.2078137397766,156
"spatialSVP_permutation_none","absolute_score","HALLMARK_ADIPOGENESIS",0.001,0.001,2.6543869972229,191
"spatialSVP_permutation_none","absolute_score","HALLMARK_ALLOGRAFT_REJECTION",0.001,0.001,2.6543869972229,138
"spatialSVP_permutation_none","absolute_score","HALLMARK_ANDROGEN_RESPONSE",0.001,0.001,2.6543869972229,94
"spatialSVP_permutation_none","absolute_score","HALLMARK_ANGIOGENESIS",0.001,0.001,2.6543869972229,30
"spatialSVP_permutation_none","absolute_score","HALLMARK_APICAL_JUNCTION",0.001,0.001,2.6543869972229,171
"spatialSVP_permutation_none","absolute_score","HALLMARK_APICAL_SURFACE",0.001,0.001,2.6543869972229,31
"spatialSVP_permutation_none","absolute_score","HALLMARK_APOPTOSIS",0.001,0.001,2.6543869972229,145
"spatialSVP_permutation_none","absolute_score","HALLMARK_BILE_ACID_METABOLISM",0.001,0.001,2.6543869972229,79
"spatialSVP_permutation_none","absolute_score","HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.001,0.001,2.6543869972229,70
"spatialSVP_permutation_none","absolute_score","HALLMARK_COAGULATION",0.001,0.001,2.6543869972229,100
"spatialSVP_permutation_none","absolute_score","HALLMARK_COMPLEMENT",0.001,0.001,2.6543869972229,166
"spatialSVP_permutation_none","absolute_score","HALLMARK_DNA_REPAIR",0.001,0.001,2.6543869972229,146
"spatialSVP_permutation_none","absolute_score","HALLMARK_E2F_TARGETS",0.001,0.001,2.6543869972229,195
"spatialSVP_permutation_none","absolute_score","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.001,0.001,2.6543869972229,191
"spatialSVP_permutation_none","absolute_score","HALLMARK_ESTROGEN_RESPONSE_EARLY",0.001,0.001,2.6543869972229,179
