"pathway","stat","stat_matched_med","stat_matched_mad","z_matched","n_matched","p_matched","p_adj_BH","n_spots","replicate","scenario","tier","planted","signal_R2_removed","signal_R2_library"
"set09",0.293877647772445,0.286774592529421,0.0957534000795042,0.0741807104199515,999,0.466,0.751636363636364,225,2,"coherent_weak","libsize",FALSE,NA,NA
"set10",0.151579499489552,0.184593646532406,0.129255018402927,-0.255418686645799,999,0.61,0.751636363636364,225,2,"coherent_weak","libsize",FALSE,NA,NA
"set11",0.282212224883751,0.224788451163515,0.111276696185308,0.516044919455625,999,0.347,0.751636363636364,225,2,"coherent_weak","libsize",FALSE,NA,NA
"set12",0.270166377434137,0.284592097117423,0.0929731089832323,-0.155160130074683,999,0.581,0.751636363636364,225,2,"coherent_weak","libsize",FALSE,NA,NA
"set01",0.742943394080089,0.0750019705133404,0.0497532863106374,13.4250714494801,999,0.001,0.004,225,2,"coherent_weak","pcs1",TRUE,0.118325926471142,0.000127458753882981
"set02",0.810376573801689,0.119512244845036,0.0480599369193518,14.375056923524,999,0.001,0.004,225,2,"coherent_weak","pcs1",TRUE,0.00338133175681654,0.000970815888627463
"set03",0.808402068913292,0.208148664769918,0.0529207835483293,11.3424889787431,999,0.001,0.004,225,2,"coherent_weak","pcs1",TRUE,0.277748916832731,0.0219262709055518
"set04",0.0964397522576498,0.0710743098526149,0.0503399318467391,0.503883129644682,999,0.307,0.526285714285714,225,2,"coherent_weak","pcs1",FALSE,NA,NA
"set05",0.0166261056377294,0.145927462949059,0.0552086020350989,-2.34205092222995,999,0.996,0.996,225,2,"coherent_weak","pcs1",FALSE,NA,NA
"set06",0.221170716868281,0.201027215669684,0.050710821866562,0.397222929093949,999,0.361,0.5415,225,2,"coherent_weak","pcs1",FALSE,NA,NA
"set07",0.102468357774796,0.0557564621903888,0.04820805711038,0.968964492334825,999,0.171,0.342,225,2,"coherent_weak","pcs1",FALSE,NA,NA
"set08",0.0651675752153725,0.112501658085713,0.0479802052238139,-0.986533564196755,999,0.838,0.996,225,2,"coherent_weak","pcs1",FALSE,NA,NA
"set09",0.272522456319965,0.218811191912197,0.0533312193710242,1.00712612689578,999,0.149,0.342,225,2,"coherent_weak","pcs1",FALSE,NA,NA
"set10",0.0110965145893208,0.0824019157142194,0.048007016066822,-1.4853120849179,999,0.942,0.996,225,2,"coherent_weak","pcs1",FALSE,NA,NA
"set11",0.0634020781194191,0.140396459997008,0.0533697831815081,-1.44265869725824,999,0.931,0.996,225,2,"coherent_weak","pcs1",FALSE,NA,NA
"set12",0.269314740941962,0.222424137875727,0.0510633733430839,0.918282518297157,999,0.171,0.342,225,2,"coherent_weak","pcs1",FALSE,NA,NA
"set01",0.681761076169334,-0.00438374688133063,0.0394346688826208,17.399533012259,999,0.001,0.004,225,2,"coherent_weak","pcs3",TRUE,0.278771209895985,0.000127458753882981
"set02",0.625738372049632,0.00480459284051413,0.0410691084711443,15.119241744568,999,0.001,0.004,225,2,"coherent_weak","pcs3",TRUE,0.614212651984954,0.000970815888627463
"set03",0.595816607977998,0.00824594521689425,0.0434671541617241,13.5175783667591,999,0.001,0.004,225,2,"coherent_weak","pcs3",TRUE,0.805058826599715,0.0219262709055518
"set04",-0.0104865448958969,-0.00207487181821764,0.0382035451426502,-0.22018043211096,999,0.584,0.919,225,2,"coherent_weak","pcs3",FALSE,NA,NA
"set05",-0.0425777123594409,0.00492742139602405,0.0402917766340059,-1.17902802318653,999,0.892,0.919,225,2,"coherent_weak","pcs3",FALSE,NA,NA
"set06",0.0485868600635206,0.0183127020574792,0.0431629375280133,0.70139243851031,999,0.23,0.552,225,2,"coherent_weak","pcs3",FALSE,NA,NA
"set07",0.0050754237438275,-0.00739739174033791,0.0344136309232053,0.362438230130344,999,0.372,0.744,225,2,"coherent_weak","pcs3",FALSE,NA,NA
"set08",-0.0369992437024031,0.000480930904161778,0.0387151250480987,-0.96810160266822,999,0.845,0.919,225,2,"coherent_weak","pcs3",FALSE,NA,NA
"set09",0.0584437545500462,0.0146550263752535,0.0413860984159416,1.05805402902936,999,0.144,0.432,225,2,"coherent_weak","pcs3",FALSE,NA,NA
"set10",-0.053197111189152,-0.00424368852153913,0.0377281613262255,-1.29753003981099,999,0.919,0.919,225,2,"coherent_weak","pcs3",FALSE,NA,NA
"set11",-0.0281572975902962,-0.00220917746833142,0.0403364100825809,-0.64329274887976,999,0.746,0.919,225,2,"coherent_weak","pcs3",FALSE,NA,NA
"set12",0.00453927429972826,0.0161753771905653,0.0409077838607323,-0.284447158771822,999,0.618,0.919,225,2,"coherent_weak","pcs3",FALSE,NA,NA
"set01",0.528136278736345,-0.0172851498183572,0.0355550355022749,15.3402020515436,999,0.001,0.004,225,2,"coherent_weak","pcs10",TRUE,0.432015107691515,0.000127458753882981
"set02",0.189336127241293,-0.0163302609999047,0.0344261095213114,5.97413971839833,999,0.001,0.004,225,2,"coherent_weak","pcs10",TRUE,0.813554231352808,0.000970815888627463
"set03",0.189670826849053,-0.0148198101672765,0.0357836273889373,5.71464247583656,999,0.001,0.004,225,2,"coherent_weak","pcs10",TRUE,0.857343679764847,0.0219262709055518
"set04",-0.0110687725975459,-0.0188483013896496,0.0355051305599751,0.219109989722824,999,0.414,0.742285714285714,225,2,"coherent_weak","pcs10",FALSE,NA,NA
"set05",-0.0550642596642557,-0.015687198415191,0.0344739148154598,-1.14222772376887,999,0.881,0.961090909090909,225,2,"coherent_weak","pcs10",FALSE,NA,NA
"set06",-0.00693304228090413,-0.0135284159653818,0.0339057027933254,0.194521072890902,999,0.429,0.742285714285714,225,2,"coherent_weak","pcs10",FALSE,NA,NA
"set07",-0.0134009911938505,-0.0182297313623904,0.0333449365129907,0.144811796737376,999,0.433,0.742285714285714,225,2,"coherent_weak","pcs10",FALSE,NA,NA
"set08",-0.0552301172784672,-0.0166367078657119,0.0340399502666395,-1.13376809044807,999,0.876,0.961090909090909,225,2,"coherent_weak","pcs10",FALSE,NA,NA
"set09",0.0492816858079963,-0.0164072149593509,0.0338476790254024,1.94072097877223,999,0.031,0.093,225,2,"coherent_weak","pcs10",FALSE,NA,NA
"set10",-0.0925391388931721,-0.0165728989383585,0.0333523862658739,-2.27768530111268,999,0.983,0.983,225,2,"coherent_weak","pcs10",FALSE,NA,NA
"set11",-0.0441760115801979,-0.0172596965416158,0.0360989254877702,-0.745626488181785,999,0.767,0.961090909090909,225,2,"coherent_weak","pcs10",FALSE,NA,NA
"set12",-0.0206377130428923,-0.01260407062992,0.0341322622114292,-0.235368003538956,999,0.59,0.885,225,2,"coherent_weak","pcs10",FALSE,NA,NA
"set01",0.8643397717857,0.2265543060071,0.123740580651076,5.15421426360549,999,0.001,0.004,225,2,"coherent_strong","none",TRUE,0,0.00103370539820202
"set02",0.86539290638233,0.299857209804247,0.111281993307721,5.08200545091102,999,0.001,0.004,225,2,"coherent_strong","none",TRUE,-2.22044604925031e-16,0.0238750420061387
"set03",0.910922200287399,0.408715895622743,0.0660132258413722,7.60766192325524,999,0.001,0.004,225,2,"coherent_strong","none",TRUE,1.11022302462516e-16,0.132381707002774
"set04",0.461645266851071,0.206739132652621,0.123787859709541,2.05921755813995,999,0.085,0.204,225,2,"coherent_strong","none",FALSE,NA,NA
"set05",0.394180850153598,0.293764354779283,0.117294743972312,0.856103964880295,999,0.222,0.444,225,2,"coherent_strong","none",FALSE,NA,NA
"set06",0.361842849529752,0.352071855773155,0.0844713229215835,0.115672318351971,999,0.458,0.5616,225,2,"coherent_strong","none",FALSE,NA,NA
"set07",0.0843638630464879,0.185634287012458,0.11012648420045,-0.919582829700069,999,0.882,0.882,225,2,"coherent_strong","none",FALSE,NA,NA
"set08",0.257398107848383,0.248583987490742,0.107316773996271,0.0821318050237657,999,0.468,0.5616,225,2,"coherent_strong","none",FALSE,NA,NA
"set09",0.317903938951738,0.36284248345897,0.0986010576493646,-0.455761282673443,999,0.701,0.764727272727273,225,2,"coherent_strong","none",FALSE,NA,NA
"set10",0.261983152560974,0.249298420639513,0.117831321822894,0.107651613554216,999,0.46,0.5616,225,2,"coherent_strong","none",FALSE,NA,NA
"set11",0.548723809408047,0.305467207482352,0.11233820827619,2.16539506601027,999,0.037,0.111,225,2,"coherent_strong","none",FALSE,NA,NA
"set12",0.381057645780019,0.36414134285264,0.0954490223403038,0.177228666282906,999,0.428,0.5616,225,2,"coherent_strong","none",FALSE,NA,NA
"set01",0.864161904880057,0.192916328329971,0.12119155892846,5.53871558782677,999,0.001,0.004,225,2,"coherent_strong","libsize",TRUE,0.00103370539820202,0.00103370539820202
"set02",0.856917575983749,0.243057744662603,0.107660247601107,5.7018244430903,999,0.001,0.004,225,2,"coherent_strong","libsize",TRUE,0.0238750420061387,0.0238750420061387
"set03",0.824962348994684,0.323761270034239,0.0616715996529706,8.12693495516138,999,0.001,0.004,225,2,"coherent_strong","libsize",TRUE,0.132381707002774,0.132381707002774
"set04",0.438628592986306,0.179699670722369,0.1159897204978,2.23234370384441,999,0.091,0.2496,225,2,"coherent_strong","libsize",FALSE,NA,NA
"set05",0.344433461858881,0.237920141090479,0.105180102919394,1.01267557087323,999,0.22,0.44,225,2,"coherent_strong","libsize",FALSE,NA,NA
"set06",0.2580810356246,0.292094250219397,0.0787464324515778,-0.431933403658787,999,0.682,0.8184,225,2,"coherent_strong","libsize",FALSE,NA,NA
"set07",0.0433625520353681,0.160592518183607,0.105571470445003,-1.11043225649973,999,0.955,0.955,225,2,"coherent_strong","libsize",FALSE,NA,NA
"set08",0.192836866972412,0.213689174595277,0.0946070253806072,-0.220409716286666,999,0.604,0.805333333333333,225,2,"coherent_strong","libsize",FALSE,NA,NA
"set09",0.217744384951554,0.303077479865519,0.0835264905536445,-1.02162911847902,999,0.895,0.955,225,2,"coherent_strong","libsize",FALSE,NA,NA
"set10",0.205587530059929,0.20804090057431,0.11274306045153,-0.0217607230507622,999,0.51,0.795,225,2,"coherent_strong","libsize",FALSE,NA,NA
"set11",0.449672404007896,0.248353401395648,0.107714867618804,1.8689992111832,999,0.104,0.2496,225,2,"coherent_strong","libsize",FALSE,NA,NA
"set12",0.289715485974649,0.294897295662747,0.0797650220718114,-0.0649634332631789,999,0.53,0.795,225,2,"coherent_strong","libsize",FALSE,NA,NA
"set01",0.85182651721572,0.106723522404283,0.0527887367273551,14.1148101092051,999,0.001,0.004,225,2,"coherent_strong","pcs1",TRUE,0.141002019519168,0.00103370539820202
"set02",0.856733504570834,0.166204631848841,0.0573882330229945,12.0325864092263,999,0.001,0.004,225,2,"coherent_strong","pcs1",TRUE,0.025801795555869,0.0238750420061387
"set03",0.809249498354495,0.278617997235391,0.0455902966489445,11.6391324497203,999,0.001,0.004,225,2,"coherent_strong","pcs1",TRUE,0.411337795075278,0.132381707002774
"set04",0.216498473293186,0.0937263558252767,0.0491760247843224,2.49658482983053,999,0.025,0.075,225,2,"coherent_strong","pcs1",FALSE,NA,NA
"set05",0.210195638538291,0.169786566537232,0.0502698275512168,0.80384345778567,999,0.23,0.394285714285714,225,2,"coherent_strong","pcs1",FALSE,NA,NA
"set06",0.257075740196906,0.23935565673262,0.0529060361743073,0.334935004503153,999,0.37,0.555,225,2,"coherent_strong","pcs1",FALSE,NA,NA
"set07",0.0174313589749597,0.0848145311016821,0.0492896862177417,-1.36708462352653,999,0.914,0.914,225,2,"coherent_strong","pcs1",FALSE,NA,NA
"set08",0.147362058363414,0.138425540431313,0.0554334328128256,0.161211699846842,999,0.451,0.601333333333333,225,2,"coherent_strong","pcs1",FALSE,NA,NA
"set09",0.227703876855922,0.24076977876329,0.0507051182385469,-0.25768408321025,999,0.598,0.7176,225,2,"coherent_strong","pcs1",FALSE,NA,NA
"set10",0.0588688567356443,0.117388894101506,0.0516534148818113,-1.13293646702279,999,0.867,0.914,225,2,"coherent_strong","pcs1",FALSE,NA,NA
"set11",0.232940418161791,0.174128251293657,0.0535917217060905,1.09741140974484,999,0.152,0.3648,225,2,"coherent_strong","pcs1",FALSE,NA,NA
"set12",0.291072357021497,0.244945610383525,0.0521786026572864,0.884016518053142,999,0.194,0.388,225,2,"coherent_strong","pcs1",FALSE,NA,NA
"set01",0.776556373301554,0.0572528323638815,0.0446465356109914,16.1110718019651,999,0.001,0.004,225,2,"coherent_strong","pcs3",TRUE,0.513790725230058,0.00103370539820202
"set02",0.722753034264215,0.108530895647648,0.0508959639179256,12.0681895249505,999,0.001,0.004,225,2,"coherent_strong","pcs3",TRUE,0.9351811084003,0.0238750420061387
"set03",0.780963705815306,0.157411961284589,0.0489098160858933,12.7490102075964,999,0.001,0.004,225,2,"coherent_strong","pcs3",TRUE,0.964168094838053,0.132381707002774
"set04",0.147321179216028,0.046262737137172,0.0458755206367442,2.20288381856342,999,0.034,0.102,225,2,"coherent_strong","pcs3",FALSE,NA,NA
"set05",0.0378093354962048,0.104807661920768,0.0491967835505245,-1.36184363263823,999,0.914,0.968,225,2,"coherent_strong","pcs3",FALSE,NA,NA
"set06",0.111145298614417,0.154712869099776,0.0485427452185643,-0.897509407207922,999,0.828,0.968,225,2,"coherent_strong","pcs3",FALSE,NA,NA
"set07",-0.0394188565206699,0.0325979522891101,0.0456298760839674,-1.57828192820984,999,0.968,0.968,225,2,"coherent_strong","pcs3",FALSE,NA,NA
