"tier","cohort","patient","pathway","fraction_sections","rank_effect","positive"
"pcs","GSE282302","C2_D13","HALLMARK_ALLOGRAFT_REJECTION",1,0.9995,TRUE
"libsize","GSE282302","C2_D2","HALLMARK_ALLOGRAFT_REJECTION",1,0.999,TRUE
"none","GSE282302","C2_D2","HALLMARK_ALLOGRAFT_REJECTION",1,0.9995,TRUE
"pcs","GSE282302","C2_D2","HALLMARK_ALLOGRAFT_REJECTION",1,0.9995,TRUE
"libsize","GSE282302","C2_D3","HALLMARK_ALLOGRAFT_REJECTION",1,0.9995,TRUE
"none","GSE282302","C2_D3","HALLMARK_ALLOGRAFT_REJECTION",1,0.9995,TRUE
"pcs","GSE282302","C2_D3","HALLMARK_ALLOGRAFT_REJECTION",1,0.9995,TRUE
"libsize","GSE282302","C2_D4","HALLMARK_ALLOGRAFT_REJECTION",1,0.9995,TRUE
"none","GSE282302","C2_D4","HALLMARK_ALLOGRAFT_REJECTION",1,0.9995,TRUE
"pcs","GSE282302","C2_D4","HALLMARK_ALLOGRAFT_REJECTION",1,0.9895,TRUE
"libsize","GSE282302","C2_D5","HALLMARK_ALLOGRAFT_REJECTION",1,0.999,TRUE
"none","GSE282302","C2_D5","HALLMARK_ALLOGRAFT_REJECTION",0.5,0.53775,TRUE
"pcs","GSE282302","C2_D5","HALLMARK_ALLOGRAFT_REJECTION",1,0.9995,TRUE
"libsize","GSE282302","C2_D6","HALLMARK_ALLOGRAFT_REJECTION",1,0.9985,TRUE
"none","GSE282302","C2_D6","HALLMARK_ALLOGRAFT_REJECTION",0.5,0.99125,TRUE
"pcs","GSE282302","C2_D6","HALLMARK_ALLOGRAFT_REJECTION",1,0.9995,TRUE
"libsize","GSE282302","C2_D7","HALLMARK_ALLOGRAFT_REJECTION",1,0.9995,TRUE
"none","GSE282302","C2_D7","HALLMARK_ALLOGRAFT_REJECTION",0,0.5375,FALSE
"pcs","GSE282302","C2_D7","HALLMARK_ALLOGRAFT_REJECTION",1,0.9995,TRUE
"libsize","GSE282302","C2_D8","HALLMARK_ALLOGRAFT_REJECTION",1,0.9995,TRUE
"none","GSE282302","C2_D8","HALLMARK_ALLOGRAFT_REJECTION",0,0.02275,FALSE
"pcs","GSE282302","C2_D8","HALLMARK_ALLOGRAFT_REJECTION",1,0.9995,TRUE
"libsize","GSE282302","C2_D9","HALLMARK_ALLOGRAFT_REJECTION",1,0.9995,TRUE
"none","GSE282302","C2_D9","HALLMARK_ALLOGRAFT_REJECTION",0.833333333333333,0.925916666666667,TRUE
"pcs","GSE282302","C2_D9","HALLMARK_ALLOGRAFT_REJECTION",0.833333333333333,0.978166666666667,TRUE
"libsize","GSE282302","C3_D1","HALLMARK_ALLOGRAFT_REJECTION",1,0.9995,TRUE
"none","GSE282302","C3_D1","HALLMARK_ALLOGRAFT_REJECTION",0.5,0.59125,TRUE
"pcs","GSE282302","C3_D1","HALLMARK_ALLOGRAFT_REJECTION",0.75,0.986875,TRUE
"libsize","GSE282302","C3_D10","HALLMARK_ALLOGRAFT_REJECTION",1,0.999125,TRUE
"none","GSE282302","C3_D10","HALLMARK_ALLOGRAFT_REJECTION",0.75,0.986875,TRUE
"pcs","GSE282302","C3_D10","HALLMARK_ALLOGRAFT_REJECTION",1,0.9995,TRUE
"libsize","GSE282302","C3_D11","HALLMARK_ALLOGRAFT_REJECTION",1,0.9995,TRUE
"none","GSE282302","C3_D11","HALLMARK_ALLOGRAFT_REJECTION",0.5,0.937625,TRUE
"pcs","GSE282302","C3_D11","HALLMARK_ALLOGRAFT_REJECTION",1,0.9995,TRUE
"libsize","GSE282302","C3_D12","HALLMARK_ALLOGRAFT_REJECTION",1,0.9995,TRUE
"none","GSE282302","C3_D12","HALLMARK_ALLOGRAFT_REJECTION",1,0.9995,TRUE
"pcs","GSE282302","C3_D12","HALLMARK_ALLOGRAFT_REJECTION",1,0.9994375,TRUE
"libsize","GSE282302","C3_D2","HALLMARK_ALLOGRAFT_REJECTION",1,0.9995,TRUE
"none","GSE282302","C3_D2","HALLMARK_ALLOGRAFT_REJECTION",1,0.9995,TRUE
"pcs","GSE282302","C3_D2","HALLMARK_ALLOGRAFT_REJECTION",1,0.9995,TRUE
"libsize","GSE282302","C3_D3","HALLMARK_ALLOGRAFT_REJECTION",0.75,0.96075,TRUE
"none","GSE282302","C3_D3","HALLMARK_ALLOGRAFT_REJECTION",0.75,0.987625,TRUE
"pcs","GSE282302","C3_D3","HALLMARK_ALLOGRAFT_REJECTION",1,0.99925,TRUE
"libsize","GSE282302","C3_D4","HALLMARK_ALLOGRAFT_REJECTION",1,0.9995,TRUE
"none","GSE282302","C3_D4","HALLMARK_ALLOGRAFT_REJECTION",0.75,0.749625,TRUE
"pcs","GSE282302","C3_D4","HALLMARK_ALLOGRAFT_REJECTION",0.75,0.95725,TRUE
"libsize","GSE282302","C3_D5","HALLMARK_ALLOGRAFT_REJECTION",1,0.9995,TRUE
"none","GSE282302","C3_D5","HALLMARK_ALLOGRAFT_REJECTION",0.75,0.9535,TRUE
"pcs","GSE282302","C3_D5","HALLMARK_ALLOGRAFT_REJECTION",1,0.9995,TRUE
"libsize","GSE282302","C3_D6","HALLMARK_ALLOGRAFT_REJECTION",1,0.999375,TRUE
"none","GSE282302","C3_D6","HALLMARK_ALLOGRAFT_REJECTION",0.25,0.2805,FALSE
"pcs","GSE282302","C3_D6","HALLMARK_ALLOGRAFT_REJECTION",0.25,0.895625,FALSE
"libsize","GSE282302","C3_D7","HALLMARK_ALLOGRAFT_REJECTION",0.75,0.963125,TRUE
"none","GSE282302","C3_D7","HALLMARK_ALLOGRAFT_REJECTION",0.75,0.963125,TRUE
"pcs","GSE282302","C3_D7","HALLMARK_ALLOGRAFT_REJECTION",0.75,0.993125,TRUE
"libsize","GSE282302","C3_D8","HALLMARK_ALLOGRAFT_REJECTION",1,0.9995,TRUE
"none","GSE282302","C3_D8","HALLMARK_ALLOGRAFT_REJECTION",1,0.9995,TRUE
"pcs","GSE282302","C3_D8","HALLMARK_ALLOGRAFT_REJECTION",1,0.9985,TRUE
"libsize","GSE282302","C3_D9","HALLMARK_ALLOGRAFT_REJECTION",1,0.990375,TRUE
"none","GSE282302","C3_D9","HALLMARK_ALLOGRAFT_REJECTION",0,0.5875,FALSE
"pcs","GSE282302","C3_D9","HALLMARK_ALLOGRAFT_REJECTION",1,0.9995,TRUE
"libsize","GSE274557","Pt1","HALLMARK_ALLOGRAFT_REJECTION",1,0.9995,TRUE
"none","GSE274557","Pt1","HALLMARK_ALLOGRAFT_REJECTION",0.5,0.49925,TRUE
"pcs","GSE274557","Pt1","HALLMARK_ALLOGRAFT_REJECTION",0.5,0.91025,TRUE
"libsize","GSE274557","Pt10","HALLMARK_ALLOGRAFT_REJECTION",0.75,0.974625,TRUE
"none","GSE274557","Pt10","HALLMARK_ALLOGRAFT_REJECTION",0,0.301625,FALSE
"pcs","GSE274557","Pt10","HALLMARK_ALLOGRAFT_REJECTION",0.5,0.974,TRUE
"libsize","GSE274557","Pt11","HALLMARK_ALLOGRAFT_REJECTION",0.75,0.985375,TRUE
"none","GSE274557","Pt11","HALLMARK_ALLOGRAFT_REJECTION",0.25,0.44575,FALSE
