"tier","pathway","n_patients","rho_os","p_os","median_untreated","median_treated","p_treatment","constant_effect","q_os","q_treatment"
"none","HALLMARK_MYOGENESIS",13,0.032967032967033,0.914856474487513,0.586,0.5534375,0.943278943278943,FALSE,0.97691446437774,0.982582232582233
"pcs","HALLMARK_MYOGENESIS",13,0.21978021978022,0.470614851472142,0.811833333333333,0.866685714285714,1,FALSE,0.725914440230714,1
"libsize","HALLMARK_NOTCH_SIGNALING",13,-0.159340659340659,0.603087753131897,0.862833333333333,0.823979166666667,0.284382284382284,FALSE,0.837621879349858,0.710955710955711
"none","HALLMARK_NOTCH_SIGNALING",13,-0.093535164139724,0.761180301112888,0.743833333333333,0.71625,0.883458406443653,FALSE,0.95147537639111,0.982582232582233
"pcs","HALLMARK_NOTCH_SIGNALING",13,-0.00549450549450549,0.985786910714062,0.489333333333333,0.57455,0.284382284382284,FALSE,0.985786910714062,0.779634391528662
"libsize","HALLMARK_OXIDATIVE_PHOSPHORYLATION",13,-0.197802197802198,0.51713091148483,0.711333333333333,0.638125,0.284382284382284,FALSE,0.808017049195047,0.710955710955711
"none","HALLMARK_OXIDATIVE_PHOSPHORYLATION",13,0.241758241758242,0.426175519594509,0.83575,0.718,0.724164724164724,FALSE,0.95147537639111,0.968540503424224
"pcs","HALLMARK_OXIDATIVE_PHOSPHORYLATION",13,-0.28021978021978,0.353763635633679,0.95025,0.948270833333333,1,FALSE,0.710292532657515,1
"libsize","HALLMARK_P53_PATHWAY",13,0.208791208791209,0.493621819356885,0.848833333333333,0.898875,0.724164724164724,FALSE,0.808017049195047,0.862100862100862
"none","HALLMARK_P53_PATHWAY",13,0.258241758241758,0.394284017397362,0.463833333333333,0.794225,0.724164724164724,FALSE,0.95147537639111,0.968540503424224
"pcs","HALLMARK_P53_PATHWAY",13,-0.291208791208791,0.334385856197529,0.705875,0.695785714285714,0.621600621600622,FALSE,0.710292532657515,0.86333419666753
