adjustment,neglog10_p_raw,neglog10_p_adjusted
Marker modules,-0.0,0.07032568205141217
Marker modules,0.4467239538629006,3.3010299956639813
Marker modules,0.00021720154586423186,0.11492161585077593
Marker modules,0.004584201457584909,0.001958735636571622
Marker modules,-0.0,0.24222450898807438
Marker modules,3.3010299956639813,0.5883802940367698
Marker modules,2.8239087409443187,0.0004345117740176917
Marker modules,0.28735029837278864,1.1307682802690238
Marker modules,0.0034883278458213473,0.0037072814586785003
Marker modules,0.3893398369101201,3.3010299956639813
Marker modules,0.28735029837278864,1.4685210829577449
Marker modules,3.3010299956639813,0.43415218132648237
Marker modules,2.0457574905606752,3.3010299956639813
Marker modules,3.3010299956639813,3.3010299956639813
Marker modules,0.5575202309355514,0.27736607746618774
Marker modules,0.8312079796858183,2.8239087409443187
Marker modules,0.0006519307932786019,0.0345631002237398
Marker modules,3.3010299956639813,2.6989700043360187
Marker modules,0.3396089015975329,0.37726803483528093
Marker modules,1.3279021420642825,0.42596873227228116
Marker modules,0.6081830763867512,1.8860566476931633
Marker modules,0.027334407733889104,0.21289390696342989
Marker modules,1.585026652029182,2.1249387366083
Marker modules,0.1372724716820254,1.2182446253475312
Marker modules,0.6556077263148893,3.3010299956639813
Marker modules,0.745935547085662,0.7569619513137056
Marker modules,0.04793440981494969,1.1079053973095196
Marker modules,0.0008694587126288914,0.7838340977140069
Marker modules,0.031283622533214185,0.7632109005907071
Marker modules,0.003269484564847303,0.3075937651663695
Marker modules,0.44369749923271273,1.3053948010664314
Marker modules,3.3010299956639813,-0.0
Marker modules,0.19314197048118256,0.17263072694617473
Marker modules,3.3010299956639813,1.6197887582883939
